Layer,Index1,Index2,Index3
conv2,23,95,24
fc1,96,28,13
fc2,74,73,19
fc1,57,64,17
fc1,21,11,75
fc2,68,1,79
fc1,53,6,40
fc1,58,23,24
fc1,28,56,37
fc2,74,69,88
fc2,97,51,3
fc1,16,64,71
conv1,1,41,42
fc2,80,79,71
fc1,40,50,55
conv1,83,7,15
fc2,74,88,82
conv1,80,63,40
fc1,59,55,62
conv1,83,77,75
fc1,78,71,59
conv2,74,90,99
conv2,9,8,6
fc2,46,53,78
fc2,0,52,86
conv1,73,76,48
conv1,75,35,70
conv1,76,53,46
fc1,9,35,46
conv1,82,45,69
conv1,67,15,59
conv2,3,58,35
conv2,89,65,77
fc1,81,3,75
conv2,46,0,98
conv1,39,6,16
fc1,78,84,58
fc1,81,28,82
fc1,91,41,82
fc2,27,60,27
fc2,12,19,73
fc2,99,11,50
conv1,6,6,6
fc2,19,28,27
fc1,83,58,58
conv1,75,34,34
conv1,14,76,10
fc1,79,47,17
fc1,14,31,52
fc1,99,93,66
fc1,87,26,95
fc2,1,23,3
conv1,23,62,70
conv1,10,54,59
fc1,77,63,76
conv1,10,56,2
conv2,96,68,11
fc1,82,75,18
fc1,42,69,79
conv2,35,14,11
conv1,9,55,85
fc2,59,88,32
conv2,96,79,90
conv1,55,63,38
fc2,65,6,17
conv1,51,67,95
conv1,32,60,50
fc2,40,62,77
fc2,71,54,34
conv1,26,17,8
conv2,76,97,55
fc2,18,47,24
conv2,34,40,67
conv1,51,7,54
conv2,40,13,58
fc2,61,85,60
conv1,34,41,56
fc1,33,44,37
conv1,46,29,94
fc2,14,87,34
conv2,39,98,38
fc1,61,30,58
fc2,7,93,9
conv1,80,18,33
fc1,51,66,76
fc2,2,12,92
conv2,95,94,6
conv2,55,71,16
conv2,59,4,47
fc1,49,7,14
conv1,22,58,84
fc1,81,47,38
fc1,81,1,61
conv1,5,84,42
fc2,4,40,96
fc2,99,21,28
fc2,33,15,48
fc2,70,21,36
fc2,63,56,60
conv1,24,5,5
conv2,60,39,66
conv1,80,52,53
fc1,3,67,14
conv2,91,56,51
conv1,0,26,37
conv2,10,96,74
conv2,87,96,68
conv2,1,96,13
conv1,62,34,48
fc1,1,29,42
fc1,16,5,50
fc1,19,75,46
conv1,55,17,3
fc2,74,62,58
fc1,39,56,99
conv2,54,19,96
conv2,5,59,0
fc2,33,66,70
conv1,2,28,5
fc1,71,48,71
conv2,2,37,2
conv1,55,23,63
fc2,35,79,66
conv2,98,90,57
conv2,98,39,66
conv2,58,65,73
fc2,2,60,98
conv1,82,85,63
fc1,2,23,83
fc2,27,84,40
fc1,98,46,41
conv2,56,13,30
conv1,71,36,32
fc1,80,78,18
fc2,2,99,63
conv2,88,82,90
fc2,65,74,41
conv2,0,66,70
conv1,41,48,28
fc1,20,79,57
fc2,26,49,33
fc1,18,63,40
fc2,42,58,26
fc1,91,93,14
conv1,7,2,67
fc1,45,42,21
fc2,90,78,23
conv2,98,6,60
conv2,35,82,40
fc2,23,28,38
conv2,0,64,26
conv2,86,51,39
conv1,71,90,33
fc1,10,40,53
fc1,51,2,65
conv2,24,19,53
fc1,33,98,6
fc1,94,81,21
conv1,79,77,30
conv2,63,72,94
fc1,62,15,45
fc2,30,15,60
conv1,90,4,69
fc2,56,40,56
conv1,45,83,47
conv2,59,42,28
fc2,43,98,66
fc2,83,92,6
fc1,13,11,4
fc1,51,5,41
fc2,23,32,25
conv1,49,21,17
fc1,99,69,25
fc1,29,76,2
conv2,92,88,63
conv1,22,87,79
fc2,42,34,6
conv1,77,90,21
conv1,28,62,44
fc2,16,20,33
conv1,99,49,77
conv1,21,49,18
conv1,85,38,28
fc1,36,75,2
conv2,40,3,5
fc1,11,16,0
conv1,15,37,39
fc2,94,61,23
fc2,38,39,41
fc1,27,75,73
conv2,49,12,17
conv2,61,86,49
fc2,10,57,76
conv1,31,99,86
fc1,10,66,30
fc2,91,97,43
conv2,85,30,12
conv1,76,49,63
conv2,26,55,6
conv2,12,10,23
conv1,98,75,39
conv1,63,86,14
conv2,64,13,80
conv1,61,63,41
conv2,75,75,33
fc2,27,92,21
fc1,37,19,32
conv2,96,36,78
fc1,83,41,38
fc1,81,32,60
conv2,26,99,36
fc2,5,0,18
conv2,34,90,17
conv1,60,41,13
fc2,60,82,76
conv1,50,88,93
fc1,92,0,11
fc2,68,1,44
conv1,46,4,5
fc1,50,22,6
conv2,35,91,95
conv2,61,30,15
conv2,50,71,6
fc2,54,26,51
fc1,27,17,97
fc1,16,12,71
fc1,54,84,24
conv1,20,50,49
fc2,79,88,7
fc2,20,83,29
conv1,60,37,66
conv2,63,33,52
fc2,70,22,45
conv2,64,33,38
fc2,65,50,83
fc1,48,55,8
fc2,12,52,96
fc1,91,88,63
conv2,2,22,35
conv1,72,25,42
conv1,63,63,77
conv1,82,77,58
conv2,49,63,71
conv1,19,22,85
conv2,73,39,87
conv1,14,18,62
conv2,46,4,35
conv1,0,92,19
fc1,58,64,94
conv1,14,9,16
conv1,19,7,47
conv2,17,63,96
conv1,77,7,1
conv1,76,43,20
conv2,66,67,20
conv1,58,81,70
fc1,22,65,39
conv1,95,46,49
conv1,18,81,19
fc2,91,50,56
conv2,77,98,14
conv1,89,97,83
fc2,98,23,93
fc1,28,50,72
fc1,39,69,82
fc1,62,80,61
fc2,50,18,62
fc1,96,51,40
fc1,96,27,35
fc2,38,66,40
fc2,74,41,33
conv1,42,39,30
conv2,92,84,62
conv2,23,31,57
conv1,53,87,38
fc2,36,92,25
fc1,49,40,94
conv1,46,86,98
fc2,93,64,79
fc1,37,84,56
conv2,29,64,48
conv2,39,46,67
fc1,41,78,87
fc2,84,73,78
